policy_name,plan_number,uin_number,category,features_benefits,eligibility_age,eligibility_income,medical_examination,premium_options,maturity_benefits,surrender_clause,tax_benefits,terms_conditions,riders_available,pdf_sources,data_completeness_score,source_url,scraped_timestamp
LICs Bima Shree,748,512N316V03,Insurance_Plans,"The plan provides for protection and savings. | Survival benefits at specified duration during the policy | Option to enhance coverage by opting for Rider Benefits | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | Rs. 50 per thousand Basic Sum Assured for first five years | Rs. 55 per thousand Basic Sum Assured from 6th policy | After the Date of Maturity, in case of death of the Life | ELIGIBILITY CONDITIONS AND OTHER RESTRICTION : | Benefits payable under an in-force policy (where all due",8-55 years,,Required,Regular,"On the life assured surviving to the end of the policy term, provided all due premiums have been paid, Sum Assured on Maturity along with accrued Guaranteed Additions and Loyalty Addition, if any, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as Paid-up policy | , the Life Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity |  If a Life Assured, who has exercised Settlement Option against Maturity Benefit, desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be the Maturity Paid-up Sum Assured along with the Guaranteed Additions accrued upto the date of First Unpaid Premium and Loyalty Addition, if any | means the benefit, which is payable on maturity, as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the PolicyholderLife Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First unpaid premium | will also apply to rider premiums which are payable along with premium for Base Policy | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | On death during first five years: Death Benefit defined as sum of Sum Assured on Death and accrued Guaranteed Addition shall be payable | defined as sum of Sum Assured on Death and accrued Guaranteed Addition and Loyalty Addition, if any, shall be payable | shall not be less than 105% of total premiums paid upto the date of death | in instalments: This is an option to receive Death Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as paid-up policy",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Bima Shree (Content is in English),1.0,https://licindia.in/web/guest/lic-s-bima-shree,2025-05-31T18:26:10.258154
LICs New Money Back Plan- 20 Years,720,512N280V03,Insurance_Plans,"The plan provides for protection and savings. | Payment of Survival Benefits at specified Policy durations. | Option to enhance coverage by opting for Rider Benefits | Benefit of attractive High Sum Assured Rebate. | Option to receive Death Benefit in lumpsum or | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; | Eligibility conditions and other restrictions: | It includes rider(s) premiums in respect of all the rider(s) opted | Annualized Premium excludes underwriting extra premium,",13-50 years,,Required,Regular,"On Life Assured surviving to the end of the policy term, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount under an in-force as well as paid-up policy | , the PolicyholderLife Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested Simple Reversionary Bonuses, if any | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditionsof the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | in lumpsum or instalments as per needs | Death benefit payable in case of death of the Life Assured during the policy term provided the policy is in-force (i | shall not be less than 105% of the total premiums paid upto the date of death",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Money Back Plan-20 years (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-money-back-plan-20-years,2025-05-31T18:26:28.388403
LICs New Money Back Plan-25 years,721,512N278V03,Insurance_Plans,"The plan provides for protection and savings. | Payment of Survival Benefits at specified Policy | Option to enhance coverage by opting for Rider | Benefit of attractive High Sum Assured Rebate. | Option to receive Death Benefit in lumpsum or | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; | Eligibility conditions and other Restrictions: | It includes rider(s) premiums in respect of all the rider(s) opted | Annualized Premium excludes underwriting extra premium,",13-45 years,,Required,Regular,"On Life Assured surviving to the end of the policy term, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 6years instead of lumpsum amount under an in-force as well as paid-up policy | , the PolicyholderLife Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested Simple Reversionary Bonuses, if any | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physi | in lumpsum or instalments as per needs | Death benefit payable in case of death of the Life Assured during the policy term provided the policy is in-force shall be (i | shall not be less than 105% of the total premiums paid upto the date of death",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Money Back Plan-25 years (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-money-back-plan-25-years,2025-05-31T18:27:07.820633
LICs New Childrens Money Back Plan,732,512N296V03,Insurance_Plans,"The plan provides for protection and savings. | Option to opt for Premium Waiver Benefit Rider on | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; or | Eligibility Conditions and Other Restriction : | 00%Guaranteed Surrender Value Facto rs Applicabl e to Total Premiums Paid (In percent age) | If age at entry of the Life Assured is less than 8 years, | It includes rider(s) premiums in respect of all the | Annualized Premium excludes underwriting extra",,,Required,Regular,"On Life Assured surviving the policy term, provided the policy is in-force, Sum Assured on Maturity  along with vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount under an in-force as well as paid-up policy | , the PolicyholderLife Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity claim | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested Simple Reversionary Bonuses, if any less total amount of Survival Benefits already paid (including Survival Benefits which were deferred) | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of first unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | Death Benefit, payable on death of the life assured during the policy term after the date of commencement of risk but before the date of maturity,provided the policy is in-force shall be Sum Assu | shall not be less than 105% of the total premiums paid upto date of death | payable shall be return of Total Premiums paid (excluding taxes, extra premium and rider premiums if any), without interest",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Childrens Money Back Plan (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-children-s-money-back-plan,2025-05-31T18:27:22.349308
LICs Bima Ratna,764,512N345V02,Insurance_Plans,The plan provides for protection and savings. | Guaranteed Addition throughout Policy Term for | Survival benefits at specified duration during the | Option to enhance coverage by opting for Rider | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | Maximum Age at Entry: 65 years (Age Nearer Birth- | Maximum Age at Maturity: 65 Years (Age Nearer | Maximum Sum Assured on Death (per life):  25 Lakhs. | No rider shall be available in case of the policies pro-,5-55 years,,Required,Regular,"On Life Assured surviving the stipulated Date of Maturity provided the policy is in-force, Sum As sured on Maturity  along with accrued Guaranteed Additions, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as Paid-up policy | a) If a Life Assured, who has exercised Settlement Option against Maturity Benefit, desires to with - draw this option and commute the outstanding 8 instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under such paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with Guaranteed Additions accrued up to the date of First Unpaid Premium | Death Benefit3 Guaranteed Surrender Value (GSV)Special Surrender Value (SSV)4 1 2 3 4 5 6 7 8 9 1 112,258 0 100,000 0 2,600,000 0 37,201 37,201 2 224,516 0 200,000 0 2,700,000 67,355 79,623 79,623 3 336,774 0 300,000 0 2,800,000 163,711 127,793 163,711 4 449,032 0 400,000 0 2,900,000 286,196 | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for pay - ment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First Unpaid Premium | will also apply to rider premiums which are payable along with premium for Base Policy | , then the policy will lapse | from the date of First Unpaid Premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Con- ditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of elec- 20 tronic or physi | Death Benefit payable on death of Life Assured during the policy term after the date of commence ment of risk shall be Sum Assured on Death along with Accrued Guaranteed Additions | payment shall not be less than 105% of total premiums paid upto date of death | payable shall be refund of premium(s) paid (excluding taxes, any extra premium and rider premium(s), if any), without interest",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Bima Ratna (Content is in English),1.0,https://licindia.in/web/guest/lic-s-bima-ratna,2025-05-31T18:27:40.407838
LICs Digi Term,876,512N356V02,Insurance_Plans,Flexibility to choose Level Sum AssuredIncreasing Sum Assured | Benefit of Attractive High Sum Assured Rebate | Flexibility to choose from two Death Benefit options: Level | Benefit of attractive High Sum Assured Rebate. | Two categories of premium rates namely (1) Non-Smoker | Minimum Policy Term : 15 years under RegularSingle | 7 times of Annualised Premium; or | 105% of Total Premiums Paid upto the date | Absolute amount assured to be paid on death. | 125% of Single Premium; or,,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date Condition 4 of Part F 5  Link for downloading claim form : https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(Applicable For Regular And Limited Premium Payment): A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid Premium | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | options: Level Sum Assured and Increasing Sum Assured | option: 40 years | option: The maximum Policy Term shall depend on the Age and Basic Sum Assured band and is as under | Death benefit payable on death of the Life Assured during the policy term after the date of commencement of risk but before the date of maturity, provided the policyis inforce and claim is admissib",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Digi Term (Content is in English),1.0,https://licindia.in/web/guest/lic-s-digi-term-876-512n356v01,2025-05-31T18:27:54.013696
LICs Digi Credit Life,878,512N358V01,Insurance_Plans,"Benefit of attractive High Sum Assured Rebate. | Two categories of premium rates namely (1) Non-Smoker rates and (2) Smoker | 105% of Total Premiums Paid up to the date of death; or | Absolute amount assured to be paid on death | To surrender hisher insurance cover. | To continue the policy till the end of the Policy Term. | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS | of attractive High Sum Assured Rebate | The benefits payable under an in-force policy are as under: | Death benefit, payable on death of the Life Assured during the policy term",18-45 years,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date Condition 4 of Part F 5  Link for downloading Claims Forms: https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(APPLICABLE FOR LIMITED PREMIUM PAYMENT): A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid Premium | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | will reduce over the term of the policy | ) for each Policy Year and shall be based on the chosen interest rate p | as specified in the Risk Cover Schedule may be higher or lower than the actual outstanding Loan | Death benefit, payable on death of the Life Assured during the policy term after the date of commencement of risk but before the stipulated Date of Maturity, provided the policy is in-force and cla",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Digi Credit Life (Content is in English),1.0,https://licindia.in/web/guest/lic-s-digi-credit-life-878-512n358v01,2025-05-31T18:28:05.910600
LICs Yuva Credit Life,877,512N357V01,Insurance_Plans,"Benefit of attractive High Sum Assured Rebate. | Two categories of premium rates namely (1) Non-Smoker rates and (2) | 105% of Total Premiums Paid up to the date of death; or | Absolute amount assured to be paid on death. | Absolute amount assured to be paid on death | To surrender hisher insurance cover. | To continue the policy till the end of the Policy Term. | Eligibility Conditions and Other Restrictions: | (However, for Basic Sum Assured  20,00,000 to less than  50,00,000, | of attractive High Sum Assured Rebate",,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date  Link for downloading Claims Forms: https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(Applicable For Limited Premium Payment): A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid Premium | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or phy | will reduce over the term of the policy | ) for each Policy Year and shall be based on the chosen interest rate p | as specified in the Risk Cover Schedule may be higher or lower than the actual outstanding Loan | Death benefit, payable on death of the Life Assured during the policy term after the date of commencement of risk but before the stipulated Date of Maturity, provided the policy is in-force and c",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Yuva Credit Life (Content is in English),1.0,https://licindia.in/web/guest/lic-s-yuva-credit-life-877-512n357v01,2025-05-31T18:28:21.523969
LICs Yuva Term,875,512N355V02,Insurance_Plans,Flexibility to choose from two Death Benefit options: Level Sum Assured | Benefit of attractive High Sum Assured Rebate. | Two categories of premium rates namely (1) Non-Smoker rates and (2) | 7 times of Annualised Premium; or | 105% of Total Premiums Paid upto the date of death; or | Absolute amount assured to be paid on death. | 125% of Single Premium; or | Option I: Level Sum Assured | Option II: Increasing Sum Assured | Eligibility Conditions and Other Restrictions:,,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date  Link for downloading claim form : 5 https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(Applicable For Regular And Limited Premium Payment): A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid P | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | options: Level Sum Assured and Increasing Sum Assured  Flexibility to  Choose from Single Premium, Regular Premium and Limited Premium Payment  Choose the Policy TermPremium Paying | option: 40 years | option: The maximum Policy Term shall depend on the Age and Basic Sum Assured band and is as under | Death benefit payable on death of the Life Assured during the policy term after the date of commencement of risk but before the date of maturity, provided the policy is inforce and claim is admissi",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Yuva Term (Content is in English),1.0,https://licindia.in/web/guest/lic-s-yuva-term-875-512n355v01,2025-05-31T18:28:35.657239
LICs New Tech-Term,954,512N351V01,Insurance_Plans,Flexibility to choose from two benefit options: Level Sum Assured and | Benefit of attractive High Sum Assured Rebate. | Two categories of premium rates namely (1) Non-Smoker rates and (2) Smoker | Option to enhance coverage by opting for Accident Benefit Rider on payment of | 7 times of Annualised Premium; or | 105% of Total Premiums Paid upto the date of death; or | Absolute amount assured to be paid on death. | 125% of Single Premium; or | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS | options: Level Sum Assured and,,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 B of Part C of this Policy Document | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date  Link for downloading claim form : https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(APPLICABLE FOR REGULAR AND LIMITED PREMIUM PAYMENT A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid Premium | will also apply to Rider premiums which are payable along with premium for Base Policy | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | Death benefit payable on death of the life assured during the policy term after the date of commencement of risk but before the date of maturity provided the policy is inforce and claim is admissibl | Option chosen at the time of taking this policy and is as under: o Option I: Level Sum Assured Absolute amount assured to be paid on death shall be an amount equal to Basic Sum Assured, which shall | Option once chosen cannot be changed later",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Tech-Term (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-tech-term-954-512n351v01,2025-05-31T18:28:49.416230
LICs New Jeevan Amar,955,512N350V02,Insurance_Plans,"2X during seventh policy year, increasing so on by 10% of Basic Sum Assured each | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS : | options: Level Sum Assured and Increasing Sum | of attractive High Sum Assured Rebate | Benefits payable under an in-force policy shall be as under: | Death benefit payable on death of the Life Assured during the policy term after the date of | On survival of the life assured to the end of the policy term, no maturity benefit is payable | option: The maximum Policy Term | cover under this Rider shall be available during the | Rider Sum Assured will be payable as lumpsum along",,,Required,Regular,"On survival of the life assured to the end of the policy term, no maturity benefit is payable | means the benefit, which is payable on maturity, as specified in Condition 1 | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | s) One month before due date  Link for downloading claim form : https:licindia",will be available under this Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(APPLICABLE FOR REGULAR AND LIMITED PREMIUM PAYMENT) : A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums from the date of First Unpaid Premium | will also apply to Rider premiums which are payable along with premium for Base Policy | from the date of First Unpaid Premium under such policies and nothing shall be payable | , then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | Death benefit payable on death of the Life Assured during the policy term after the date of commencement of risk but before the date of maturity , provided the policy is inforce and claim is admissi | Option chosen at the time of taking this policy and is as under: o Option I: Level Sum Assured Absolute amount assured to be paid on death shall be an amount equal to Basic Sum Assured, whic | Option once chosen cannot be changed later",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Jeevan Amar (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-jeevan-amar-955-512n350v01,2025-05-31T18:28:59.939893
LICs Saral Jeevan Bima,859,512N341V01,Insurance_Plans,The plan provides for financial protection | Benefit of attractive High Sum Assured Rebate. | Eligibility Conditions and Other Restrictions: | of attractive High Sum Assured Rebate | No Maturity Benefit shall be payable on the Life Assured | shall be payable on the Life Assured | Assured after the expiry of Waiting | assured to be paid on death shall be an | Assured surviving the stipulated Date of Maturity | Assured shall be in multiples of Rs,18-65 years,,Required,Regular,shall be payable on the Life Assured surviving the stipulated Date of Maturity | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity | No Maturity Benefit shall be payable on the Life Assured surviving the stipulated Date of Maturity,Surrender value is not applicable under this Plan,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly premiums and 15 days for monthly premiums from the date of First Unpaid Premium | then the policy will lapse | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to Corporation within 15 30 days from the date of receipt of the electronic or physica | i) During the Waiting Period of 45 days from the date of commencement of Risk: This Policy will cover death due to accident only during the waiting period of 45 days from the date of commencement | amount payable as a lump sum is: (1) For regular premium or limited premium payment policy, equal to Sum Assured on Death which is the highest of: (a) 10 times the Annualized Premium, or (b) 105% o | amount payable as a lump sum is: (1) For Regular premium or Limited premium payment policy, Sum Assured on Death which is the highest of: (a) 10 times of annualized premium; or (b) 105% of all th | becomes payable; or b) The date on which refund, if applicable, is settled, in case of cancellation of policy ; or c) The date of maturity; or d) On expiry of revival period, if the policy has not be | a) Under RegularLimited Premium Policy: This policy shall be void if the Life Assured commits suicide at any time within 12 months from the date of commencement of risk, provided the policy is info",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Saral Jeevan Bima (Content is in English),1.0,https://licindia.in/web/guest/lic-s-saral-jeevan-bima,2025-05-31T18:29:11.129315
